source_path	source_blob	resolution	native_evidence	notes
build/gen-manifest.py	ada2c7c6a9a5f1daf545e649ba7c30774b8b3840	merge	build/gen-manifest.py	Merged native version identity release naming and signed manifest generation.
build/icon/AppIcon.png	c38a1c5e1b91872b043bbc5bffa4e05309151165	exact	build/icon/AppIcon.png	Imported byte-for-byte.
build/icon/AppIcon.svg	fb948c095d06742216dd013af07a129e3d63b70b	exact	build/icon/AppIcon.svg	Imported byte-for-byte.
build/icon/generate.sh	8c90c0ac4f24d3a69a7ebc24fc9c6a255abe1723	merge	build/icon/generate.sh	Merged deterministic icon targets under native package names.
build/linux/debian/control.in	b13e50192fc320b867b42ff3e6d4784adcb90749	merge	build/linux/debian/control.in	Merged native package identity dependencies and release version.
build/linux/debian/copyright	a9d40882d009fc09b3e400cf33f8a0620a952b42	merge	build/linux/debian/copyright	Merged native source copyright and third-party notices.
build/linux/debian/lintian-overrides	4b829daaa9dc6b474426040e79811f8d8010739e	merge	build/linux/debian/lintian-overrides	Retargeted the justified self-contained-runtime overrides to the native package.
build/linux/debian/missionplanner-avalonia	fc5eb55725920ade9c6b1cba8befccb7bef63197	merge	build/linux/debian/missionplanner	Renamed launcher and retargeted paths to the native product identity.
build/linux/debian/missionplanner-avalonia.1	343871041ab953c904bcafb9e8ee6e47c4175c9a	merge	build/linux/debian/missionplanner.1	Renamed and updated the manual page for the native executable.
build/linux/debian/missionplanner-avalonia.desktop	830877f82c875d49512def15474c0b2a8946dca8	merge	build/linux/debian/missionplanner.desktop	Renamed and updated desktop metadata for the native executable.
build/linux/debian/postinst	edbd70f8c6ee496588aa7dde62b40fee8be6d996	exact	build/linux/debian/postinst	Imported byte-for-byte.
build/linux/debian/postrm	edbd70f8c6ee496588aa7dde62b40fee8be6d996	exact	build/linux/debian/postrm	Imported byte-for-byte.
build/linux/install.sh	17ebfc7745e274932818b0a0b74c7277715a96fb	merge	build/linux/install.sh	Retargeted portable installation paths desktop file and executable identity.
build/linux/missionplanner-avalonia.desktop	07d673503fc503de857f7130e4fe572c44d00615	merge	build/linux/missionplanner.desktop	Renamed and updated the portable desktop entry.
build/linux/missionplanner-avalonia.png	7255a5a79f4d0560d0c234647b314524a3f3b0f0	exact	build/linux/missionplanner.png	Retained byte-for-byte under the native package name.
build/linux/package.sh	8789738fe4b1175a538c88e2b7b1bf9104aff5e4	merge	build/linux/package.sh	Retargeted deterministic TAR and DEB generation to MissionPlanner.
build/macos/AppIcon.icns	6da1385364686d1fb97151654699532c14abe6b8	exact	build/macos/AppIcon.icns	Imported byte-for-byte.
build/macos/Info.plist	b20d888b79401231777714c204fbb9977d599ec3	merge	build/macos/Info.plist	Merged native bundle identity version and executable name.
build/macos/entitlements.plist	94fcbacb55004c5bd7a84b39d387c476e4818238	exact	build/macos/entitlements.plist	Imported byte-for-byte.
build/macos/make-app.sh	e9d15c7ee4fa3eb6b5f23b4239bfed66d60ae3b9	merge	build/macos/make-app.sh	Retargeted both macOS architectures to the native app and archive identity.
build/make-update-bundle.py	602ce357465f3b91a4668aa25c0b5b9e378ab6b9	merge	build/make-update-bundle.py	Merged signed updater bundle metadata for native release archives.
build/simpleble/fetch-macos.sh	d87c7edd2928094311972e9e7b670ea9f9b6f34b	exact	build/simpleble/fetch-macos.sh	Imported byte-for-byte.
build/version.sh	02efb23ebe69fd90059c2e2c4dc9573df41ed212	merge	build/version.sh	Merged official Mission Planner version build date commit and package-safe forms.
build/vlc/fetch-macos.sh	1484823c3ebf92232ec854749198eeb0af7f1cb8	exact	build/vlc/fetch-macos.sh	Imported byte-for-byte.
external/Directory.Build.props	34aaf583f8d4d13237b81ac03d61772acd6db492	retire	Porting/BASELINE.md	Only configured the removed external native checkout; the in-place project uses root policy.
external/Directory.Packages.props	5f9708a97f38de5ec3174674b50ebba430ba9504	retire	Porting/BASELINE.md	Only configured the removed external native checkout; root package policy is authoritative.
external/MissionPlanner	67a3c4f22bd1b38ac499f9756902e04fa4ed8444	retire	Porting/BASELINE.md	The exact gitlink baseline became this repository history and is intentionally not vendored.
global.json	512142d2bea1add9d1cf54884a7fde22666bad51	exact	global.json	Imported byte-for-byte to preserve the .NET 10 feature-band policy promised by README.
src/MissionPlannerAvalonia.LegacyPluginApi/MainV2Compatibility.cs	df9f11da1d0f2edebd4bd08f626438537abc9b17	exact	Plugin/LegacyCompatibility/MainV2Compatibility.cs	Imported byte-for-byte into the native plugin location.
src/MissionPlannerAvalonia.LegacyPluginApi/MissionPlannerAvalonia.LegacyPluginApi.csproj	16482f4ef23382abfb1a63b74b4c13ff6a753b9e	merge	MissionPlanner.csproj	Merged the legacy ABI directly into MissionPlanner.dll instead of emitting a conflicting second assembly.
src/MissionPlannerAvalonia.LegacyPluginApi/PluginCompatibility.cs	e53e3054608f633b0a46acc707ff0303e5e90bb8	exact	Plugin/LegacyCompatibility/PluginCompatibility.cs	Imported byte-for-byte into the native plugin location.
src/MissionPlannerAvalonia.PluginApi/MissionPlannerAvalonia.PluginApi.csproj	af76c28b277e2ac691f1d610ee0b15a8129fadb6	merge	Plugin/PortableApi/MissionPlanner.PluginApi.csproj	Renamed the portable contract and removed the legacy assembly-name collision.
src/MissionPlannerAvalonia.PluginApi/Plugin.cs	c6980ee069d0fe19cf3abd043d488f4e4a62fc17	exact	Plugin/PortableApi/Plugin.cs	Imported byte-for-byte into the native plugin location.
src/MissionPlannerAvalonia.PluginApi/PluginHost.cs	d5ec634dec562ac06c0e6baa3120afa2ef349e95	merge	Plugin/PortableApi/PluginHost.cs	Imported and migrated the namespace to MissionPlanner.PluginApi.
src/MissionPlannerAvalonia/MissionPlannerAvalonia.csproj	3ad616e37d70ba7e0801a0226e8c538cb98d72c9	merge	MissionPlanner.csproj	Replaced the root WinForms project in place and merged native backends resources version and identity.
src/Px4Uploader/Px4Uploader.csproj	524eef2f711a0789a3f0b91116ee750be414b096	merge	ExtLibs/px4uploader/px4uploader.csproj	Merged CoreCLR uploader settings into the canonical native px4uploader project.
src/UpstreamCompat/MonoRuntimeSettingsCompatibility.cs	8d6cc1d40eade2ac0d333f951015f54180b3a22d	merge	Services/AppPaths.cs;ExtLibs/Utilities/Settings.cs	Replaced the Mono marker shim with explicit XDG/config/cache paths in native Settings.
srtm/S36E149.hgt	53147945c5eeb9f630e6dbdcdf117506a12528ce	retire	Porting/PROJECT_CLEANUP_AUDIT.md	Unreferenced 25 MiB developer terrain sample; runtime and tests use selected cached or generated terrain.
srtm/S36E149.hgt.zip	fe0863adac305b3679541beedf45e0ac8b9cd722	retire	Porting/PROJECT_CLEANUP_AUDIT.md	Duplicate compressed developer terrain sample with no source build test or package consumer.
srtm/SRTM1	206de63f5eeebd7ca32fa4e002e248bbffb09fda	retire	Porting/PROJECT_CLEANUP_AUDIT.md	Unreferenced developer terrain sample; no product path assumes repository-local SRTM data.
srtm/SRTM3	084619437fdd9edbc6b5f42665c730d67761df0a	retire	Porting/PROJECT_CLEANUP_AUDIT.md	Unreferenced developer terrain sample; no product path assumes repository-local SRTM data.
tests/MissionPlannerAvalonia.LegacyReference/MissionPlannerAvalonia.LegacyReference.csproj	775c5746b6d226bfcaa53e49506bc425eb6e276d	merge	MissionPlannerTests/Avalonia/MissionPlanner.LegacyReference/MissionPlanner.LegacyReference.csproj	Renamed identity and retargeted references into the in-place graph.
tests/MissionPlannerAvalonia.LegacyTestPlugin/MissionPlannerAvalonia.LegacyTestPlugin.csproj	93502103ebac50af7de29d6dd03241d02e7f33b8	merge	MissionPlannerTests/Avalonia/MissionPlanner.LegacyTestPlugin/MissionPlanner.LegacyTestPlugin.csproj	Renamed identity and retained the net472 binary compatibility fixture.
tests/MissionPlannerAvalonia.TestPlugin.Dependency/MissionPlannerAvalonia.TestPlugin.Dependency.csproj	c0d6cada099fa4b7116f3e18e1818fe22a64e200	merge	MissionPlannerTests/Avalonia/MissionPlanner.TestPlugin.Dependency/MissionPlanner.TestPlugin.Dependency.csproj	Renamed identity and retained the portable plugin dependency fixture.
tests/MissionPlannerAvalonia.TestPlugin/MissionPlannerAvalonia.TestPlugin.csproj	ccc1bc514337f0769cc3b849fde3c17fa4049e67	merge	MissionPlannerTests/Avalonia/MissionPlanner.TestPlugin/MissionPlanner.TestPlugin.csproj	Renamed identity and retargeted the portable contract and dependency.
tests/MissionPlannerAvalonia.Tests/MissionPlannerAvalonia.Tests.csproj	7352d9ab7e7813f0cb8b0a55366cf79786bf33a7	merge	MissionPlannerTests/Avalonia/MissionPlanner.Tests/MissionPlanner.Tests.csproj	Renamed and merged all imported tests with native backend project references.
