source_path	planned_native_path	action	notes
src/MissionPlannerAvalonia/Assets/Frames/type_plus.png	Assets/Frames/type_plus.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/type_v.png	Assets/Frames/type_v.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/type_x.png	Assets/Frames/type_x.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/type_y6b.png	Assets/Frames/type_y6b.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/appicon.ico	Assets/appicon.ico	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/AirportOverlayController.cs	Controls/AirportOverlayController.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/AnsiTerminalView.cs	Controls/AnsiTerminalView.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/FaceMapPreviewMap.cs	Controls/FaceMapPreviewMap.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/FaceMapProfileControl.cs	Controls/FaceMapProfileControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/FlightPlannerMap.cs	Controls/FlightPlannerMap.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/FormField.cs	Controls/FormField.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/FormationGridControl.cs	Controls/FormationGridControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/Gauge.cs	Controls/Gauge.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/GimbalVideoOverlay.cs	Controls/GimbalVideoOverlay.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/HeliCollectivePlot.cs	Controls/HeliCollectivePlot.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/Hsi.cs	Controls/Hsi.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/HudControl.cs	Controls/HudControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/ImportedMapOverlayRenderer.cs	Controls/ImportedMapOverlayRenderer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/LivePlot.cs	Controls/LivePlot.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/MapView.cs	Controls/MapView.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/MavMarker.cs	Controls/MavMarker.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/OverlapCoverageBuilder.cs	Controls/OverlapCoverageBuilder.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/ParamFieldsView.axaml	Controls/ParamFieldsView.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/ParamFieldsView.axaml.cs	Controls/ParamFieldsView.axaml.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/PropagationOverlayController.cs	Controls/PropagationOverlayController.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/ProximityRadarControl.cs	Controls/ProximityRadarControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/QuickView.cs	Controls/QuickView.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/SequenceLayoutControl.cs	Controls/SequenceLayoutControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/SurveyGridPreviewMap.cs	Controls/SurveyGridPreviewMap.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/VideoControl.cs	Controls/VideoControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Controls/WaypointLeaderProfileControl.cs	Controls/WaypointLeaderProfileControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Converters.cs	Converters.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/MissionPlannerAvalonia.csproj	MissionPlanner.csproj	merge	Root project replacement; rename main assembly/product to MissionPlanner and use direct native paths.
src/MissionPlannerAvalonia/Program.cs	Program.cs	replace	Root Avalonia entry point.
src/MissionPlannerAvalonia/Services/AirportService.cs	Services/AirportService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/AnsiTerminalBuffer.cs	Services/AnsiTerminalBuffer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/AntennaTrackerOutputs.cs	Services/AntennaTrackerOutputs.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/AppPaths.cs	Services/AppPaths.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/AppVersion.cs	Services/AppVersion.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/AudioVario.cs	Services/AudioVario.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/BatteryEstimator.cs	Services/BatteryEstimator.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/CotEventSerializer.cs	Services/CotEventSerializer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/DataFlashExpressionEvaluator.cs	Services/DataFlashExpressionEvaluator.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/DataFlashLog.cs	Services/DataFlashLog.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/DeveloperToolParsers.cs	Services/DeveloperToolParsers.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/Dialogs.cs	Services/Dialogs.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/DisplayViewService.cs	Services/DisplayViewService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ElevationSourceService.cs	Services/ElevationSourceService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ExternalAdsbReceiver.cs	Services/ExternalAdsbReceiver.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/FaceMapSupport.cs	Services/FaceMapSupport.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/FirmwareArchiveService.cs	Services/FirmwareArchiveService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/FlightCommandShortcuts.cs	Services/FlightCommandShortcuts.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/FlightModeNames.cs	Services/FlightModeNames.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/FormationFlight.cs	Services/FormationFlight.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/FrameDefaultCatalogService.cs	Services/FrameDefaultCatalogService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/Geo.cs	Services/Geo.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/GeoPackageOverlayReader.cs	Services/GeoPackageOverlayReader.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/GimbalVideoInteraction.cs	Services/GimbalVideoInteraction.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/GraphPresets.cs	Services/GraphPresets.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/HeliVisualization.cs	Services/HeliVisualization.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/HongKongNoFlyService.cs	Services/HongKongNoFlyService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/HudFrameRecorder.cs	Services/HudFrameRecorder.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ImportedOverlayStore.cs	Services/ImportedOverlayStore.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/JoystickControl.cs	Services/JoystickControl.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/JoystickInput.cs	Services/JoystickInput.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/KIndexService.cs	Services/KIndexService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/KmlGroundOverlayProcessor.cs	Services/KmlGroundOverlayProcessor.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/KmlMissionReader.cs	Services/KmlMissionReader.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LatestOperationController.cs	Services/LatestOperationController.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LibVlcBootstrap.cs	Services/LibVlcBootstrap.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LinuxBleSerial.cs	Services/LinuxBleSerial.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LogAnalyzer.cs	Services/LogAnalyzer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LogIndexService.cs	Services/LogIndexService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LogOrganizer.cs	Services/LogOrganizer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/LuaScriptHost.cs	Services/LuaScriptHost.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MacHidJoystick.cs	Services/MacHidJoystick.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MapCacheManager.cs	Services/MapCacheManager.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MapTileImporter.cs	Services/MapTileImporter.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MapTileSourceFactory.cs	Services/MapTileSourceFactory.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MavCmdInfo.cs	Services/MavCmdInfo.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MavLinkConnectionManager.cs	Services/MavLinkConnectionManager.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MavLinkTransportRelease.cs	Services/MavLinkTransportRelease.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MavlinkSerialTcpBridge.cs	Services/MavlinkSerialTcpBridge.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MavlinkVideoStreams.cs	Services/MavlinkVideoStreams.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MicrodroneDownlinkEncoder.cs	Services/MicrodroneDownlinkEncoder.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MissionCommandCatalog.cs	Services/MissionCommandCatalog.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/MissionRoute.cs	Services/MissionRoute.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NativeGdalApi.cs	Services/NativeGdalApi.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NativeGdalMapService.cs	Services/NativeGdalMapService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NativeSimpleBleSerial.cs	Services/NativeSimpleBleSerial.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NmeaGgaParser.cs	Services/NmeaGgaParser.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NmeaVehicleSession.cs	Services/NmeaVehicleSession.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NoFlyOverlay.cs	Services/NoFlyOverlay.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NoFlyOverlayCoordinator.cs	Services/NoFlyOverlayCoordinator.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NvModemCatalog.cs	Services/NvModemCatalog.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/NvModemMavlink.cs	Services/NvModemMavlink.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/OfflineMagFitService.cs	Services/OfflineMagFitService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/OgcMapProvider.cs	Services/OgcMapProvider.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/OpenDroneIdMessageFactory.cs	Services/OpenDroneIdMessageFactory.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/OsdVideoOverlay.cs	Services/OsdVideoOverlay.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ParameterRecoveryWorkflow.cs	Services/ParameterRecoveryWorkflow.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PlannerGeometry.cs	Services/PlannerGeometry.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PlannerMapImportService.cs	Services/PlannerMapImportService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PlannerTextGeometry.cs	Services/PlannerTextGeometry.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PluginRuntime.cs	Services/PluginRuntime.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PluginService.cs	Services/PluginService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PoiStore.cs	Services/PoiStore.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PortableWebSocketSerial.cs	Services/PortableWebSocketSerial.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PreflightChecklist.cs	Services/PreflightChecklist.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ProgressDialogs.cs	Services/ProgressDialogs.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/PropagationService.cs	Services/PropagationService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/Px4FlowReceiver.cs	Services/Px4FlowReceiver.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ResxTranslationService.cs	Services/ResxTranslationService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SftpLogDownloadSupport.cs	Services/SftpLogDownloadSupport.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SftpLogSession.cs	Services/SftpLogSession.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SitlLauncher.cs	Services/SitlLauncher.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/Speech.cs	Services/Speech.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SpeechAnnouncer.cs	Services/SpeechAnnouncer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SshHostKeyPrompt.cs	Services/SshHostKeyPrompt.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SshTerminalSession.cs	Services/SshTerminalSession.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SurveyGridSupport.cs	Services/SurveyGridSupport.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SwarmFollowLeader.cs	Services/SwarmFollowLeader.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SwarmFollowPath.cs	Services/SwarmFollowPath.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SwarmSequence.cs	Services/SwarmSequence.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/SwarmWaypointLeader.cs	Services/SwarmWaypointLeader.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/TerminalKeyEncoder.cs	Services/TerminalKeyEncoder.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/Terrain3D.cs	Services/Terrain3D.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/TerrainDataService.cs	Services/TerrainDataService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/ThemeService.cs	Services/ThemeService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/TlogExportService.cs	Services/TlogExportService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/TlogPlayer.cs	Services/TlogPlayer.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/TrackerHomeNmeaService.cs	Services/TrackerHomeNmeaService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/TrafficService.cs	Services/TrafficService.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/Updater.cs	Services/Updater.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/VehicleFirmwarePolicy.cs	Services/VehicleFirmwarePolicy.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/VehicleParameterLoadCoordinator.cs	Services/VehicleParameterLoadCoordinator.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Services/VideoSourceResolver.cs	Services/VideoSourceResolver.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Theme/MpTheme.axaml	Theme/MpTheme.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Theme/Palettes/Classic.axaml	Theme/Palettes/Classic.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Theme/Palettes/DeepForest.axaml	Theme/Palettes/DeepForest.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Theme/Palettes/Emerald.axaml	Theme/Palettes/Emerald.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Theme/Palettes/LimeRefined.axaml	Theme/Palettes/LimeRefined.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Theme/Palettes/PaletteResources.cs	Theme/Palettes/PaletteResources.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/ViewLocator.cs	ViewLocator.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/ViewModels/ActionPageViewModel.cs	ViewModels/ActionPageViewModel.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/ViewModels/AntennaTrackerUIViewModel.cs	ViewModels/AntennaTrackerUIViewModel.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/ViewModels/BackstageViewModel.cs	ViewModels/BackstageViewModel.cs	import	Port-owned application source/resource imported into the native root.
